recipe_id,detail
REC-FABADA-ASTURIANA,alubia blanca riñón -> faba asturiana
REC-TORTILLA-PAISANA,guisantes con vaina -> guisantes finos congelados
REC-TORTILLA-PAISANA,sal común añadida como sazonamiento pendiente de prueba
REC-OLLA-GITANA,melocotón -> pera conferencia
REC-ZORZA-PATATAS,carne picada de cerdo -> aguja de cerdo troceable
REC-ZORZA-PATATAS,aceite del adobo -> aceite de oliva virgen
REC-CALLOS-GALLEGOS,jamón cocido -> chorizo de cebolla
REC-COCIDO-MONTANES,jamón cocido -> costilla salada
REC-COCIDO-MONTANES,morcilla de Burgos -> chorizo de cebolla
REC-JUDIONES-GRANJA,jamón cocido -> chorizo de León curado picante
REC-RANCHO-CANARIO,jamón cocido -> chorizo de curación media ahumado
REC-ZAMBURINAS-GRATINADAS,renombrada para no declarar zamburiña fresca cuando el ingrediente es volandeira comercial
