id,nombre,accion,release_status_final,validacion_obrador
REC-ESCUDELLA,Escudella i carn d'olla,Corregida denominación/fórmula: galets y pilota incorporados; pasta genérica retirada.,pendiente,pendiente
REC-ZARZUELA-MARISCO,Zarzuela de pescado y marisco,"Corregida fórmula: elimina katsuobushi/surimi y refuerza pescado, marisco, fumet, sofrito y picada.",pendiente,pendiente
REC-POTAJE-VIGILIA,Potaje de vigilia,Corregida proteína principal: corvina sustituida por bacalao desalado.,pendiente,pendiente
REC-PATATAS-RIOJANA,Patatas a la riojana,Corregida fórmula: jamón cocido sustituido por chorizo; pimentón/ñora reforzados.,pendiente,pendiente
REC-SOPA-CASTELLANA,Sopa castellana,Corregida fórmula: elimina conejo y mantiene matriz pan-ajo-pimentón-caldo-huevo.,pendiente,pendiente
REC-MENESTRA-VERDURAS,Menestra de verduras,Corregida fórmula: elimina conejo y refuerza composición vegetal.,pendiente,pendiente
REC-BANOFFEE,Banoffee,"Corregida fórmula: base de galleta, toffee/dulce de leche, plátano y chantilly.",pendiente,pendiente
REC-MUFFINS-ARANDANOS,Muffins de arándanos,Corregida denominación e inclusión: arándanos sustituyen a piña.,pendiente,pendiente
REC-PAD-THAI,Pad thai de langostinos,"Reformulada versión docente: tamarindo, salsa de pescado, cacahuete, lima y salteado de wok; queda pendiente.",pendiente,pendiente
REC-QUICHE-LORRAINE,Quiche lorraine,Reformulada base salada/neutra y aparato de quiche; queda pendiente.,pendiente,pendiente
