action,allergens,bloque,classification,detail,family,fat_pct,hydration_pct,id,name,preferment_type,priority,recipe_kind,salt_pct,sugar_pct,yeast_pct
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Nombre “clásico” discutible: incluye estragón y no aparece tomillo; proceso todavía genérico. Al usarse en fondos, conviene normalizar antes de corrección global.",,,,REC-BOUQUET-GARNI,Bouquet garni clásico,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,La denominación “brava” no queda defendida si solo lleva pimentón dulce; proceso genérico y picante no está claro.,,,,REC-SALSA-BRAVA,Salsa brava,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Producto RTE frío con base mayonesa; proceso y APPCC son demasiado genéricos para una salsa con huevo/emulsión fría.,,,,REC-SALSA-TARTARA,Salsa tártara,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Buena orientación técnica, pero fondo de alto impacto recursivo. Rendimiento, tiempo real, evaporación y enfriamiento siguen pendientes de obrador.",,,,REC-FONDO-BLANCO-AVE,Fondo blanco de ave,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto y proceso específico, pero arrastra a varias salsas/platos. Reducción, tostado, desgrasado y rendimiento requieren prueba.",,,,REC-FONDO-OSCURO-TERNERA,Fondo oscuro de ternera,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Proceso específico y APPCC adecuados; es el elemento más recursivo del 7A. Cocción corta, colado y rendimiento no deben validarse sin prueba.",,,,REC-FUMET-PESCADO,Fumet de pescado clásico,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,Concepto correcto como derivada de holandesa/bearnesa con tomate; riesgo técnico y sanitario por yema/emulsión templada.,,,,REC-SALSA-CHORON,Salsa choron,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Proceso específico y APPCC buenos; base recursiva usada por varias fichas. Rendimiento y acidez/reducción pendientes.,,,,REC-SALSA-TOMATE,Salsa de tomate,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Proceso específico correcto. Usa aceite de girasol alto oleico pese a hablar de aceite de oliva en proceso; incoherencia menor-media por enseñanza técnica.,,,,REC-SOFRITO-BASE,Sofrito de hortalizas,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Ficha bastante específica y APPCC razonable. No arrastra subrecetas y tiene bajo impacto recursivo.,,,,REC-CALDO-CORTO-PESCADO,Caldo corto para pescado,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta; proceso genérico no explica picado fino, evaporación de agua ni punto seco.",,,,REC-DUXELLES,Duxelles de champiñón,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Ficha ya tiene corrección crítica previa y proceso específico. Riesgo principal: RTE vegetal y oxidación.,,,,REC-GUACAMOLE,Guacamole,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula funcional para fondos blancos; proceso genérico y sin precisión de corte, proporción ni uso.",,,,REC-MIREPOIX-BLANCA,Mirepoix blanca,,P2,culinary,,,
