bloque,recipe_kind,id,name,risk_family,direct_allergens,derived_allergens,action,source
DATA7,culinary,REC-AJOARRIERO-BACALAO,Bacalao ajoarriero,pescado/marisco/anisakis,Pescado,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-AJOBLANCO,Ajoblanco,general,Gluten | Frutos de cáscara,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ALBONDIGAS-SALSA-ESPANOLA,Albóndigas en salsa española,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-APPLE-CRUMBLE,Crumble de manzana,lácteos/postres fríos,Gluten | Leche | Frutos de cáscara,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ARROZ-HORNO,Arroz al horno,cereales cocidos,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ARROZ-MARINERO,Arroz marinero con fumet,pescado/marisco/anisakis,Crustáceos | Moluscos,Pescado | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ARROZ-NEGRO-CALAMAR,Arroz negro,huevo/emulsiones,Pescado | Moluscos,Huevos | Mostaza,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ARROZ-PILAF,Arroz pilaf,cereales cocidos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ARROZ-SENYORET,Arroz del señoret,pescado/marisco/anisakis,Crustáceos | Moluscos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BACALAO-PILPIL,Bacalao al pil-pil,pescado/marisco/anisakis,Pescado,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
