id,nombre,rol,usada_por_n_fichas,accion,formula,release_status,yield_status,review_id
REC-FOCACCIA,Focaccia,ficha puente/auxiliar panadería-pastelería en culinary_recipes,0,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_FOCACCIA
REC-MASA-EMPANADA,Masa de empanada gallega,ficha puente/auxiliar panadería-pastelería en culinary_recipes,0,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_MASA_EMPANADA
REC-MASA-PIZZA,Masa de pizza,ficha puente/auxiliar panadería-pastelería en culinary_recipes,1,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_MASA_PIZZA
REC-PAN-BASICO,Pan común,ficha puente/auxiliar panadería-pastelería en culinary_recipes,0,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAN_BASICO
REC-PAN-GALLEGO,Pan gallego básico,ficha puente/auxiliar panadería-pastelería en culinary_recipes,0,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAN_GALLEGO
REC-PAST-ALMIBAR-30,Almíbar 30 °Brix orientativo para calar,ficha puente/auxiliar panadería-pastelería en culinary_recipes,6,Proceso/APPCC/notas reforzados; sin migración de tabla,corregida relación azúcar/agua,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_ALMIBAR_30
REC-PAST-MANZANA-COMPOTA,Compota de manzana,ficha puente/auxiliar panadería-pastelería en culinary_recipes,1,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_MANZANA_COMPOTA
REC-PAST-GENOVES,Bizcocho genovés,ficha puente/auxiliar panadería-pastelería en culinary_recipes,5,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_GENOVES
REC-PAST-BIZCOCHO-PLANCHA,Bizcocho plancha para enrollar,ficha puente/auxiliar panadería-pastelería en culinary_recipes,1,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_BIZCOCHO_PLANCHA
REC-PAST-QUEBRADA-DULCE,Pasta quebrada dulce,ficha puente/auxiliar panadería-pastelería en culinary_recipes,2,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_QUEBRADA_DULCE
REC-PAST-HOJALDRE-BASE,Hojaldre,ficha puente/auxiliar panadería-pastelería en culinary_recipes,2,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_HOJALDRE_BASE
REC-PAST-MERENGUE-FRANCES,Merengue francés,ficha puente/auxiliar panadería-pastelería en culinary_recipes,1,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_MERENGUE_FRANCES
REC-PAST-MERENGUE-ITALIANO,Merengue italiano,ficha puente/auxiliar panadería-pastelería en culinary_recipes,2,Proceso/APPCC/notas reforzados; sin migración de tabla,sin cambio de fórmula,pendiente,rendimiento pendiente de obrador,REV_RC25_DATA4_PAST_MERENGUE_ITALIANO
